Epoch,Cost,Train_acc,Valid_acc
1,1.348298558725579,0.5313527523113226,0.5659135118958551
2,0.8382104632748973,0.7071680012378632,0.5645668113122849
3,0.6021682173981894,0.7887122355034621,0.7266197815352387
4,0.5154255726236371,0.8185370005028819,0.6826275624719438
5,0.4509045740976782,0.8425205988162934,0.6817297620828969
6,0.40090738056172237,0.8571815403659433,0.6884632650007482
7,0.3445886086792418,0.8794630768635643,0.7037258716145444
8,0.3189586669178956,0.8878186530501722,0.7583420619482268
9,0.285428952840664,0.8985725890681212,0.7807870716743978
10,0.2553310317153314,0.9087462767397779,0.8107137513092922
11,0.14535650386435262,0.9502146918881281,0.7984438126589855
12,0.11909093600706461,0.9592665660902866,0.8000897800389046
13,0.1074830936267972,0.9630962051758153,0.7984438126589855
14,0.10165559678594352,0.9644888012069166,0.8102648511147689
15,0.08899451662339086,0.9700205021082356,0.8081699835403262
16,0.08511963827849024,0.9699044524389772,0.8041298817896154
17,0.07741083066431012,0.9739275076399365,0.7927577435283555
18,0.07489635000546523,0.9748559049940041,0.7993416130480323
19,0.0652242930456022,0.9780279292870682,0.8159509202453987
20,0.06334159925746002,0.9791497427565665,0.8304653598683226
21,0.047266449160599563,0.9852230087810916,0.8165494538380966
22,0.0480143208008278,0.9846814436578856,0.8105641179111177
23,0.04422999449802729,0.9861514061351592,0.8186443214125393
24,0.045238933104730386,0.9856872074581254,0.8208888223851564
25,0.04268149432871246,0.9868477041507099,0.812210085291037
