Epoch,Cost,Train_acc,Valid_acc
1,1.868551030201782,0.331940737302232,0.4090977106090079
2,1.2026148920343949,0.5758384588603922,0.4381265898548556
3,0.8949007146835032,0.6839580673861746,0.4861589106688613
4,0.7477630303001566,0.735174654752234,0.6045189286248691
5,0.6364251244075523,0.7743607597385014,0.613048032320814
6,0.548851537352225,0.8062744187845732,0.6717043244052072
7,0.4948380393354167,0.8249970987582685,0.7231782133772258
8,0.45824422509326496,0.8400061893156938,0.7329043842585665
9,0.41171078341505907,0.8535840006189316,0.7421816549453838
10,0.40071308010230117,0.860779080112955,0.7451743229088733
11,0.263775500625667,0.9072763142625043,0.7676193326350441
12,0.23538169653459204,0.9162121387954044,0.7695645668113122
13,0.2234311794843709,0.9209701752350006,0.7761484363309891
14,0.21058088860078022,0.9261537271285444,0.7502618584468054
15,0.20577689305427346,0.9270821244826118,0.7683674996259166
16,0.19567643963538184,0.9303701984449344,0.762531797097112
17,0.18769163566890476,0.9348574523229275,0.7553493939847374
18,0.17916999594538963,0.9378747437236471,0.7700134670058357
19,0.17316318103711648,0.9399249545472129,0.7754002693401167
20,0.1650570971882063,0.9434451278480523,0.8048780487804879
21,0.14427550854899063,0.9505628408959035,0.781834505461619
22,0.14263418123660848,0.9511430892421957,0.7842286398324106
23,0.1431677691214303,0.9492862945340605,0.7809367050725722
24,0.14035713437040992,0.9501760086650419,0.7866227742032021
25,0.14121334850880327,0.951491238249971,0.7819841388597935
