epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,135.393,0.44786,0.34278,1.00448,0.99915,1,0.995,0.97877,0.27306,0.24423,0.76547,0.0011486,0.0011486,0.0011486
45,138.585,0.46404,0.34232,1.02096,0.9943,1,0.995,0.95126,0.33196,0.24797,0.78134,0.0011288,0.0011288,0.0011288
46,141.523,0.46693,0.3475,1.03389,0.99957,1,0.995,0.97655,0.27224,0.23628,0.76632,0.001109,0.001109,0.001109
47,144.697,0.45605,0.34426,1.01678,0.99971,1,0.995,0.95294,0.29503,0.23122,0.7714,0.0010892,0.0010892,0.0010892
48,147.811,0.45324,0.32787,1.01497,0.99944,1,0.995,0.97459,0.26139,0.20551,0.76721,0.0010694,0.0010694,0.0010694
49,151.04,0.47537,0.34473,1.03227,0.99959,1,0.995,0.96855,0.27728,0.20832,0.76985,0.0010496,0.0010496,0.0010496
50,154.533,0.45748,0.33542,1.01492,0.99777,1,0.995,0.97968,0.26273,0.25203,0.77206,0.0010298,0.0010298,0.0010298
51,157.807,0.44741,0.32405,1.00638,0.99173,1,0.995,0.97174,0.27087,0.24031,0.76735,0.00101,0.00101,0.00101
52,161.11,0.45532,0.34062,1.01227,0.99863,1,0.995,0.97943,0.24867,0.19299,0.75968,0.0009902,0.0009902,0.0009902
53,164.49,0.46229,0.33698,1.01882,0.99971,1,0.995,0.94117,0.33596,0.23074,0.77079,0.0009704,0.0009704,0.0009704
54,167.778,0.46415,0.3381,1.02395,0.99972,1,0.995,0.97447,0.2534,0.21034,0.75924,0.0009506,0.0009506,0.0009506
55,171.037,0.44082,0.32343,1.00806,0.99967,1,0.995,0.97539,0.26202,0.21991,0.76373,0.0009308,0.0009308,0.0009308
56,174.467,0.4552,0.34356,1.01884,0.99972,1,0.995,0.96971,0.25616,0.20552,0.75872,0.000911,0.000911,0.000911
57,177.997,0.45497,0.3291,1.0171,0.99961,1,0.995,0.97539,0.26278,0.20379,0.76091,0.0008912,0.0008912,0.0008912
58,181.061,0.43824,0.32015,1.01025,0.9997,1,0.995,0.97291,0.27176,0.20914,0.76468,0.0008714,0.0008714,0.0008714
59,184.109,0.46117,0.32682,1.02528,0.99955,1,0.995,0.97086,0.29635,0.21837,0.77531,0.0008516,0.0008516,0.0008516
60,187.141,0.43933,0.31553,1.01385,0.99961,1,0.995,0.97824,0.25403,0.22227,0.76191,0.0008318,0.0008318,0.0008318
61,190.251,0.4335,0.31491,1.00524,0.99469,1,0.995,0.96591,0.26182,0.22633,0.7616,0.000812,0.000812,0.000812
62,193.378,0.4233,0.30369,1.00614,0.99964,1,0.995,0.95806,0.27891,0.22789,0.76605,0.0007922,0.0007922,0.0007922
