,cost_log
0,2.5443227291107178
1,2.0861093997955322
2,1.8873631171882153
3,1.6893582344055176
4,1.6334440037608147
5,1.5504977479577065
6,1.549631044268608
7,1.4284006878733635
8,1.361621454358101
9,1.4230810478329659
