Epoch,Cost,Train_acc,Valid_acc
1,1.7622064087207954,0.39275076399365594,0.4729911716295077
2,1.5688593726015032,0.45305790878495994,0.4456082597635792
3,1.0404013761199347,0.640516807860431,0.4875056112524315
4,0.8762321402641511,0.6927004758036439,0.5742929821936256
5,0.7802743127449683,0.7257746315423002,0.6215771360167589
6,0.702184566268974,0.7541681172875324,0.5690558132575191
7,0.628576447550982,0.7799311438629066,0.5974861589106688
8,0.5767568923062691,0.7975320103671037,0.6504563818644321
9,0.5459283513090767,0.8102587907624463,0.6164896004788268
10,0.5032723504441357,0.8253065645429577,0.6455184797246746
11,0.359460717661878,0.873351127615953,0.7124046087086637
12,0.32463030696911094,0.8851881938803141,0.7231782133772258
13,0.3125891904992116,0.8895207148659626,0.7291635493042047
14,0.2992026276084235,0.8945882170902479,0.7128535089031872
15,0.2878001385215972,0.898533905845035,0.7366452192129284
16,0.2760903269587324,0.9019380294766159,0.7339518180457878
17,0.2669038715597131,0.9050713705465939,0.7507107586413287
18,0.2545612064411513,0.9086689102936056,0.7393386203800688
19,0.2513649281676822,0.9107964875633437,0.7393386203800688
20,0.24495845011407785,0.9145874434257862,0.7514589256322011
21,0.21492184357865168,0.9248384975436154,0.759988029328146
22,0.21285844650027333,0.926308460020889,0.7486158910668861
23,0.2097477227965794,0.9272755405980426,0.7531048930121204
24,0.20664680025328208,0.9277010560519903,0.7565464611701331
25,0.20627130738155233,0.9266179258055781,0.7535537932066437
