epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.985,0.54476,0.42426,1.05624,0.98115,0.9661,0.99057,0.91937,0.41236,0.37077,0.79325,0.0011882,0.0011882,0.0011882
43,182.193,0.55839,0.44815,1.05544,0.97211,0.94539,0.98291,0.88803,0.44345,0.4336,0.80665,0.0011684,0.0011684,0.0011684
44,186.494,0.56309,0.44032,1.06332,0.9793,0.96205,0.98673,0.89541,0.44236,0.38992,0.79971,0.0011486,0.0011486,0.0011486
45,190.612,0.55538,0.44224,1.06569,0.96016,0.95254,0.98454,0.91424,0.43438,0.42008,0.79913,0.0011288,0.0011288,0.0011288
46,194.631,0.53981,0.41958,1.05427,0.97597,0.96374,0.98987,0.91279,0.4182,0.40713,0.79486,0.001109,0.001109,0.001109
47,198.691,0.55352,0.42634,1.06193,0.96539,0.94556,0.98411,0.91846,0.39427,0.36916,0.78075,0.0010892,0.0010892,0.0010892
48,202.704,0.54594,0.4381,1.05188,0.97799,0.96271,0.98855,0.91464,0.4165,0.39082,0.78448,0.0010694,0.0010694,0.0010694
49,206.663,0.52592,0.42778,1.04291,0.97577,0.95574,0.98803,0.92356,0.40213,0.399,0.78059,0.0010496,0.0010496,0.0010496
50,210.67,0.5268,0.42747,1.04845,0.96598,0.94576,0.98313,0.90735,0.39686,0.41709,0.78443,0.0010298,0.0010298,0.0010298
51,214.662,0.55571,0.42851,1.05804,0.96647,0.9322,0.97854,0.87809,0.44273,0.43784,0.79683,0.00101,0.00101,0.00101
52,218.675,0.52579,0.40917,1.04417,0.97544,0.94251,0.98114,0.90548,0.41708,0.3693,0.80121,0.0009902,0.0009902,0.0009902
53,222.842,0.53636,0.41877,1.05309,0.98258,0.95621,0.98802,0.92703,0.39367,0.37081,0.78607,0.0009704,0.0009704,0.0009704
54,227.008,0.52166,0.40911,1.04308,0.97967,0.94915,0.98697,0.9185,0.39199,0.37259,0.77851,0.0009506,0.0009506,0.0009506
55,231.262,0.51009,0.40442,1.03967,0.96207,0.94579,0.98596,0.92917,0.37774,0.37626,0.7734,0.0009308,0.0009308,0.0009308
56,235.325,0.51864,0.41337,1.04507,0.96029,0.95932,0.98696,0.90297,0.42008,0.38556,0.79616,0.000911,0.000911,0.000911
57,239.419,0.51563,0.39831,1.03694,0.96773,0.91498,0.98415,0.92298,0.39008,0.41858,0.78544,0.0008912,0.0008912,0.0008912
58,243.482,0.50575,0.39788,1.045,0.97576,0.94915,0.98664,0.93248,0.37843,0.39216,0.78157,0.0008714,0.0008714,0.0008714
59,247.555,0.51844,0.39952,1.03973,0.9606,0.97288,0.98944,0.93488,0.37865,0.38105,0.77697,0.0008516,0.0008516,0.0008516
