Epoch,Cost,Train_acc,Valid_acc
1,1.7438110126422184,0.40218947042667597,0.558880742181655
2,1.2614467270155945,0.5576186607868168,0.5871614544366303
3,0.9554323643667273,0.6607094503113999,0.7230285799790513
4,0.794911057199582,0.7159490928784187,0.7423312883435583
5,0.7099154718994799,0.7473985532474566,0.754900493790214
6,0.6385436569626378,0.7780743491547716,0.7987430794553344
7,0.5732366939508678,0.7981509419364822,0.8060751159658835
8,0.5321985630336965,0.8140110634018026,0.8155020200508754
9,0.4870061831696346,0.8292135700746586,0.803680981595092
10,0.46519052931614735,0.8374530965920081,0.8237318569504714
11,0.3061343139258794,0.8934277203976635,0.8793954810713751
12,0.2754931124296076,0.9034079919538895,0.8789465808768517
13,0.26362442014287085,0.9064252833546091,0.8837348496184348
14,0.2482890855477164,0.9118796178097559,0.8838844830166093
15,0.23839608285838904,0.9151676917720785,0.8793954810713751
16,0.23117511746263833,0.9179142006111949,0.8861289839892263
17,0.22164660812779743,0.9231364357278249,0.8930121203052521
18,0.2156274131128085,0.9230977525047387,0.8919646865180308
19,0.2093749108573302,0.9247224478743569,0.8951069878796948
20,0.1960138410288324,0.9309891300143128,0.8961544216669161
21,0.1752842488291784,0.9384163088468531,0.9007930570103247
22,0.16672344766626374,0.9427875130555878,0.9027382911865929
23,0.1678863109186255,0.9412015009090557,0.9015412240011971
24,0.16424720585150276,0.9409694015705389,0.9028879245847673
25,0.16309011996825143,0.941820432478434,0.9028879245847673
