Epoch,Cost,Train_acc,Valid_acc
1,1.7245309398979833,0.40315655100382963,0.5211731258416878
2,0.9585741860884252,0.6647711887354454,0.5038156516534491
3,0.7315618910291923,0.7392750763993656,0.6145443663025587
4,0.6090521892062435,0.7849986460871919,0.6036211282358223
5,0.5269749092472957,0.8148234110866117,0.6586862187640281
6,0.47954760793836254,0.8314185137905691,0.6504563818644321
7,0.4288725997182992,0.8490580635178523,0.7300613496932515
8,0.3860943061207412,0.8630613902750377,0.6929522669459823
9,0.3547541979829421,0.8784959962864106,0.6812808618883734
10,0.3236262507432389,0.887277087926966,0.7448750561125244
11,0.192049196939731,0.9324977757146725,0.779290737692653
12,0.16534288828537827,0.9414722834706588,0.7831812060451893
13,0.14864861497673953,0.9496344435418359,0.7894658087685171
14,0.1364229745369884,0.9524583188271247,0.7782433039054317
15,0.12727646574857507,0.9558237592356195,0.784976806823283
16,0.11792831199179117,0.9584155351823914,0.7725572347748018
17,0.10795566290709199,0.9619357084832308,0.7664222654496483
18,0.10299351099215212,0.9649143166608641,0.8024839144096962
19,0.09945655059954613,0.9670032107075162,0.8002394134370792
20,0.08788573474042338,0.9697497195466326,0.7975460122699386
21,0.07472859472462834,0.9746238056554872,0.8080203501421517
22,0.0672365223601608,0.9788015937487912,0.8077210833458028
23,0.06625056483939586,0.9784147615179297,0.8045787819841389
24,0.06857819683241224,0.9771382151560868,0.8092174173275475
25,0.06605220508604946,0.9772155816022591,0.8090677839293731
